Number,Competency,Python Content,C++ Content,,#,Bloom's,Description
1,Programming Fundamentals,,,,6,Create,Use informaiton to create something new
1.1,Working with number systems:,,,,5,Evaluate,Examine information and make judgments
1.1.1,"Converting between binary, decimal, and hexadecimal.",Number systems,,,4,Analyze,Take apart the known and identify relationships
1.1.2,Applying number systems in programming contexts.,Number systems,,,3,Apply,Use informaiton in a new (but similar) situation
1.2,Understanding data types and variables:,,,,2,Understand,Grasp meaning of instructional materials
1.2.1,Understanding primitive or basic data types,Concepts of variables,,,1,Remember,Recall specific facts
1.2.2,Understanding non-primitive or complex data types,"Data type - Strings, Tuples",Classes,,,,
1.2.3,Understanding constants and their usage.,,Const keyword,,,,
1.2.4,Understanding variables and their usage.,Variables,Pointers; References,,,,
1.2.5,"Identifying the scope of variables (local, method/function, class, global).",Variables,Pointers; References,,,,
1.3,Handling operators and expressions:,,,,,,
1.3.1,Applying assignment operators.,Concepts of variables,Classes; Operator Overloading,,,,
1.3.2,Using arithmetic operators in expressions.,Arithmetic operators,,,,,
1.3.3,Applying relational operators.,Simple conditionals,,,,,
1.3.4,Constructing logical expressions.,Nested conditionals,,,,,
1.3.5,Evaluating Boolean expressions.,Simple conditionals,,,,,
1.3.6,Using logical operators in complex conditions.,Nested conditionals,,,,,
1.4,Managing input and output:,,,,,,
1.4.1,Implementing user input and program output.,Concepts of variables,File I/O; Binary File I/O; Command line,,,,
1.4.2,Validating input data for correctness.,,,,,,
1.4.3,Implementing strategies for validating user input.,,,,,,
1.4.4,Comparing input validation techniques.,,,,,,
1.4.5,Handling exceptions.,,,,,,
2,Data Management and Processing ,,,,,,
2.1,Data structures:,,,,,,
2.1.1,"Declaring, initializing, and manipulating 1D arrays.",Data Type - Lists,Dynamic memory,,,,
2.1.2,Working with 2D arrays for tabular data.,,Dynamic memory,,,,
2.1.3,"Using lists (e.g., ArrayList, vector)",Data Type - Lists,Dynamic memory; Linked Lists,,,,
2.1.4,Using stacks / deque,,,,,,
2.1.5,Using queues,,,,,,
2.1.6,Using sets,Data Type - Sets,,,,,
2.1.7,"Using key-value pairs (e.g., dictionary, map)",Dictionaries,Maps,,,,
2.2,File Input and Output (File I/O),,,,,,
